School_Name,Server_Responsible,Student_Count,Visit_DateTime,Rating,Feedback,Option_1,Option_2,Option_3,Option_4,Min_Age,Max_Age,City_District
colegiofuturo,Mariana,25,2024-09-19 10:30,4,Experiência interessante,Ótima organização,Bons monitores,Boas atividades,Estrutura adequada,12,14,rio de janeiro
colegiofuturo,Mariana,25,2024-09-19 10:30,5,Ótima visita,Bom atendimento,Atividades educativas,Bons equipamentos,Monitores qualificados,12,14,rio de janeiro
institutosaopaulo,Gabriel,30,2024-09-19 14:15,3,Razoável,Bom ambiente,Bom para adolescentes,Precisa de melhorias,Atendimento médio,15,18,são paulo
institutosaopaulo,Gabriel,30,2024-09-19 14:15,2,Decepcionante,Atividades desatualizadas,Falta de monitores,Ambiente confuso,Precisa de mais estrutura,15,18,são paulo
institutosaopaulo,Gabriel,30,2024-09-19 14:15,4,Bom mas pode melhorar,Bons monitores,Bom atendimento,Precisa de mais atividades,Estrutura adequada,15,18,são paulo
colegiomodelo,Aline,35,2024-09-20 09:45,5,Excelente visita,Bom para todas as idades,Atividades interativas,Bons monitores,Estrutura excelente,13,16,porto alegre
colegiomodelo,Aline,35,2024-09-20 09:45,4,Muito educativo,Bom atendimento,Monitores atenciosos,Atividades variadas,Bons equipamentos,13,16,porto alegre
colegiomodelo,Aline,35,2024-09-20 09:45,3,Boa experiência,Falta de atividades,Estrutura razoável,Bom para adolescentes,Atendimento bom,13,16,porto alegre
universidadealpha,Caio,50,2024-09-20 12:00,5,Muito satisfatório,Ótima infraestrutura,Bom para todas as idades,Atividades diversificadas,Monitores atenciosos,17,22,brasilia
universidadealpha,Caio,50,2024-09-20 12:00,4,Bom atendimento,Bons monitores,Estrutura adequada,Bons equipamentos,Atividades educativas,17,22,brasilia
universidadealpha,Caio,50,2024-09-20 12:00,3,Razoável,Precisa de melhorias,Monitores inexperientes,Atividades limitadas,Falta de estrutura,17,22,brasilia
colegiofenix,Luciana,28,2024-09-21 11:30,5,Ótima visita,Atividades muito educativas,Bons monitores,Estrutura moderna,Ambiente acolhedor,12,15,fortaleza
colegiofenix,Luciana,28,2024-09-21 11:30,4,Muito bom,Atividades interativas,Bons monitores,Bom atendimento,Estrutura moderna,12,15,fortaleza
colegiofenix,Luciana,28,2024-09-21 11:30,3,Satisfatório,Estrutura média,Falta de atividades,Monitores razoáveis,Atendimento mediano,12,15,fortaleza
universidadebeta,Pedro,60,2024-09-21 10:45,4,Experiência enriquecedora,Bons monitores,Estrutura adequada,Atividades interativas,Ótima organização,18,25,curitiba
universidadebeta,Pedro,60,2024-09-21 10:45,5,Ótima visita,Bom atendimento,Bons equipamentos,Estrutura moderna,Monitores experientes,18,25,curitiba
universidadebeta,Pedro,60,2024-09-21 10:45,3,Bom,Precisa de mais atividades,Estrutura razoável,Ambiente acolhedor,Monitores qualificados,18,25,curitiba
faculdadexyz,Helena,48,2024-09-22 09:00,5,Excelente experiência,Bons monitores,Ótima estrutura,Ambiente educativo,Atividades muito boas,20,23,salvador
faculdadexyz,Helena,48,2024-09-22 09:00,4,Bom,Bom para todas as idades,Atividades interativas,Monitores atenciosos,Estrutura moderna,20,23,salvador
faculdadexyz,Helena,48,2024-09-22 09:00,3,Razoável,Precisa de mais atividades,Falta de monitores,Ambiente regular,Estrutura aceitável,20,23,salvador
institutofuturo,Roberta,55,2024-09-22 14:30,5,Muito bom,Bons monitores,Estrutura excelente,Ambiente educativo,Atividades diversificadas,15,18,porto alegre
institutofuturo,Roberta,55,2024-09-22 14:30,4,Bom ambiente educacional,Atividades adequadas,Monitores qualificados,Estrutura moderna,Bom atendimento,15,18,porto alegre
institutofuturo,Roberta,55,2024-09-22 14:30,3,Satisfatório,Falta de atividades,Bons monitores,Estrutura média,Ambiente regular,15,18,porto alegre
universidadegamma,Rafael,58,2024-09-23 13:15,5,Excelente,Atividades variadas,Bons monitores,Estrutura moderna,Ótima organização,19,24,brasilia
universidadegamma,Rafael,58,2024-09-23 13:15,4,Bom atendimento,Bons equipamentos,Monitores atenciosos,Atividades educativas,Estrutura moderna,19,24,brasilia
universidadegamma,Rafael,58,2024-09-23 13:15,3,Razoável,Falta de atividades,Bons monitores,Ambiente acolhedor,Estrutura aceitável,19,24,brasilia
