School_Name,Server_Responsible,Student_Count,Visit_DateTime,Rating,Feedback,Option_1,Option_2,Option_3,Option_4,Min_Age,Max_Age,City_District
ufsc,Ana,28,2024-10-25 11:45,3,"Faltou um pouco mais de interatividade e algumas atrações estavam fechadas",Precisa de mais interatividade,Precisa de manutenção,null,null,20,27,florianópolis
ufsc,Ana,28,2024-10-25 11:45,4,"Gostei bastante das atividades educativas, monitores atenciosos",Aprendizagem interessante,Bons monitores,null,null,20,27,florianópolis
ufrj,Fernando,42,2024-10-26 12:00,5,"Muito bem organizado, adorei todas as atrações",Ótima estrutura,Variedade de atrações,null,null,21,30,rio de janeiro
ufrj,Fernando,42,2024-10-26 12:00,4,"Os monitores foram muito atenciosos, adorei o atendimento",Bons monitores,Bom atendimento,null,null,21,30,rio de janeiro
unifesp,Larissa,37,2024-10-27 14:20,2,"A estrutura precisa de melhorias e mais funcionários para ajudar",Precisa de manutenção,Precisa de mais funcionários,null,null,18,25,são paulo
unifesp,Larissa,37,2024-10-27 14:20,3,"As atrações são boas, mas achei a manutenção um pouco ruim",Variedade de atrações,Precisa de manutenção,null,null,18,25,são paulo
uff,Rafael,33,2024-10-28 09:30,5,"Ótima experiência, muito bem organizado e atividades interessantes",Ótima organização,Aprendizagem interessante,null,null,17,23,niterói
uff,Rafael,33,2024-10-28 09:30,4,"Os monitores são ótimos, o atendimento foi excelente",Bons monitores,Bom atendimento,null,null,17,23,niterói
ufrn,Carolina,29,2024-10-29 13:15,2,"As atrações precisam de manutenção, algumas não estavam funcionando",Precisa de manutenção,Precisa de mais atrações,null,null,19,26,natal
ufrn,Carolina,29,2024-10-29 13:15,3,"Gostei da variedade, mas falta interatividade nas atividades",Variedade de atrações,Precisa de mais interatividade,null,null,19,26,natal
