School_Name,Server_Responsible,Student_Count,Visit_DateTime,Rating,Feedback,Option_1,Option_2,Option_3,Option_4,Min_Age,Max_Age,City_District
usp,Mariana,45,2024-10-15 10:45,5,"Atividades muito bem organizadas, ótimo atendimento",Ótima organização,Bom atendimento,null,null,16,22,são paulo
usp,Mariana,45,2024-10-15 10:45,4,"Os monitores eram muito prestativos",Bons monitores,Aprendizagem interessante,null,null,16,22,são paulo
ufrj,Felipe,38,2024-10-16 12:20,3,"Achei que faltaram algumas atividades interativas",Precisa de mais atrações,null,null,null,18,25,rio de janeiro
ufrj,Felipe,38,2024-10-16 12:20,2,"Falta mais interatividade e a estrutura precisa de manutenção",Precisa de manutenção,Mais interatividade,null,null,18,25,rio de janeiro
unicamp,Beatriz,29,2024-10-17 11:10,4,"Atendimento e atividades muito bons",Bom atendimento,Aprendizagem interessante,null,null,17,23,campinas
unicamp,Beatriz,29,2024-10-17 11:10,5,"Achei muito educativo, excelente para todas as idades",Ótima estrutura,Aprendizagem interessante,null,null,17,23,campinas
ufes,João,32,2024-10-18 09:00,3,"Precisa de melhorias em algumas atrações",Precisa de mais atrações,null,null,null,19,24,vitória
ufes,João,32,2024-10-18 09:00,2,"Achei a estrutura um pouco desatualizada e falta de monitores",Precisa de mais manutenção,null,null,null,19,24,vitória
ufpel,Camila,28,2024-10-19 15:00,4,"Gostei da variedade de atrações e dos monitores",Variedade de atrações,Bons monitores,null,null,15,21,pelotas
ufpel,Camila,28,2024-10-19 15:00,5,"Achei a experiência excelente, tudo muito organizado",Ótima estrutura,Aprendizagem interessante,null,null,15,21,pelotas
