School_Name,Server_Responsible,Student_Count,Visit_DateTime,Rating,Feedback,Option_1,Option_2,Option_3,Option_4,Min_Age,Max_Age,City_District
escolaviva,Camila,40,2024-09-14 09:30,5,Ótima experiência,Monitores atenciosos,Bons equipamentos,Bom atendimento,Ótima infraestrutura,10,15,curitiba
escolaviva,Camila,40,2024-09-14 09:30,4,Muito educativo,Ótima estrutura,Bom atendimento,Atividades interativas,Bons monitores,10,15,curitiba
colegioabc,Marcelo,28,2024-09-14 10:15,3,Bom,Atividades boas,Precisa de mais opções,Organização razoável,Boa estrutura,14,17,porto alegre
colegioabc,Marcelo,28,2024-09-14 10:15,2,Poderia ser melhor,Falta de funcionários,Falta de estrutura,Falta de monitores,Atendimento ruim,14,17,porto alegre
colegioabc,Marcelo,28,2024-09-14 10:15,4,Boa experiência,Bom para todas as idades,Monitores qualificados,Ambiente agradável,Atividades interessantes,14,17,porto alegre
institutobrasil,Juliana,60,2024-09-15 11:00,5,Excelente,Bons monitores,Ótimas atrações,Bom atendimento,Organizado,12,18,brasilia
institutobrasil,Juliana,60,2024-09-15 11:00,4,Bom lugar para aprender,Bons espaços,Atividades interativas,Bom atendimento,Estrutura moderna,12,18,brasilia
colegionovo,Paulo,45,2024-09-15 12:45,3,Precisa de melhorias,Estrutura média,Monitores razoáveis,Organização fraca,Atividades limitadas,16,19,salvador
colegionovo,Paulo,45,2024-09-15 12:45,5,Ótima visita,Excelente estrutura,Bons monitores,Bom para adolescentes,Educação divertida,16,19,salvador
colegionovo,Paulo,45,2024-09-15 12:45,4,Bom,Ambiente educacional bom,Ótimos monitores,Bons equipamentos,Atividades adequadas,16,19,salvador
ufpr,Ana,50,2024-09-16 09:15,5,Muito bom,Atividades diversificadas,Monitores atenciosos,Boa estrutura,Ótima organização,13,17,curitiba
ufpr,Ana,50,2024-09-16 09:15,4,Recomendo,Bons equipamentos,Bom atendimento,Estrutura adequada,Atividades variadas,13,17,curitiba
ufpr,Ana,50,2024-09-16 09:15,3,Satisfatório,Atividades boas,Mas precisa de melhorias,Estrutura aceitável,Monitores qualificados,13,17,curitiba
ceunsp,Roberto,35,2024-09-16 10:30,2,Pode melhorar,Precisa de mais atrações,Melhorar os monitores,Mais atividades,Falta de organização,15,18,sorocaba
ceunsp,Roberto,35,2024-09-16 10:30,3,Razoável,Monitores bons,Bom atendimento,Bom para adolescentes,Estrutura adequada,15,18,sorocaba
escolamoderna,Fernanda,32,2024-09-17 11:45,5,Muito educativo,Ótima experiência,Ambiente acolhedor,Bons monitores,Bom atendimento,11,14,rio de janeiro
escolamoderna,Fernanda,32,2024-09-17 11:45,4,Bom para todas as idades,Bom atendimento,Bons monitores,Ambiente agradável,Atividades educativas,11,14,rio de janeiro
colegiosantos,Lucas,27,2024-09-17 13:00,3,Boa visita,Estrutura mediana,Precisa de mais atividades,Ambiente agradável,Monitores razoáveis,14,17,são paulo
colegiosantos,Lucas,27,2024-09-17 13:00,5,Excelente,Bom para jovens,Ótimas atividades,Bom atendimento,Bons monitores,14,17,são paulo
colegiosantos,Lucas,27,2024-09-17 13:00,4,Ótima organização,Atendimento exemplar,Monitores qualificados,Ambiente educacional bom,Atividades interativas,14,17,são paulo
uninter,Beatriz,38,2024-09-18 09:00,2,Razoável,Precisa de manutenção,Monitores inexperientes,Falta de atividades,Falta de organização,16,19,curitiba
uninter,Beatriz,38,2024-09-18 09:00,3,Bom atendimento,Bom para jovens,Estrutura adequada,Monitores bons,Atividades limitadas,16,19,curitiba
uninter,Beatriz,38,2024-09-18 09:00,5,Excelente,Bom atendimento,Ótima infraestrutura,Monitores qualificados,Atividades variadas,16,19,curitiba
facens,Ricardo,44,2024-09-18 10:45,5,Muito bom,Ótima experiência,Ambiente acolhedor,Bons monitores,Bom para estudantes,14,18,sorocaba
facens,Ricardo,44,2024-09-18 10:45,4,Bom ambiente educacional,Bons monitores,Atividades interativas,Bom atendimento,Estrutura moderna,14,18,sorocaba
facens,Ricardo,44,2024-09-18 10:45,3,Satisfatório,Estrutura adequada,Atividades medianas,Bons monitores,Ambiente acolhedor,14,18,sorocaba
